fromaccount,toaccount,syscode,timestamp,amount
D77066,1000093,20,2014/9/10 18:37,16
C74437,1000095,22,2014/9/10 18:37,116
A79671,1000095,64,2014/9/10 18:37,48
C19162,1000095,64,2014/9/10 18:37,30
E76836,1000016,28,2014/9/10 18:37,150
C56484,1000095,64,2014/9/10 18:38,20
D18682,1000016,28,2014/9/10 18:38,500
D73447,1000095,64,2014/9/10 18:38,24
D77916,1000093,20,2014/9/10 18:38,200
A45782,1000093,20,2014/9/10 18:38,86
D69544,1000091,19,2014/9/10 18:38,56
E73757,1000091,19,2014/9/10 18:38,76
A43203,1000093,20,2014/9/10 18:38,14
B72497,1000091,19,2014/9/10 18:38,138
B25737,1000095,64,2014/9/10 18:38,200
E46343,1000095,64,2014/9/10 18:38,33
D73422,1000091,19,2014/9/10 18:38,192
B65533,1000093,20,2014/9/10 18:38,2
D51779,1000095,22,2014/9/10 18:38,200
E61289,1000093,20,2014/9/10 18:39,134
A68525,1000016,28,2014/9/10 18:39,150
E48935,1000093,20,2014/9/10 18:39,126
C48773,1000093,20,2014/9/10 18:25,200
E47542,1000093,20,2014/9/10 18:25,4
C74965,1000091,19,2014/9/10 18:25,124
A73621,1000093,20,2014/9/10 18:26,68
E47542,1000093,20,2014/9/10 18:25,4
A28783,1000016,28,2014/9/10 18:43,600
D79597,1000093,20,2014/9/10 18:43,20
A73063,1000095,22,2014/9/10 18:43,68
A61720,1000091,19,2014/9/10 18:43,158
C38000,1000093,20,2014/9/10 18:43,18
D61993,1000093,20,2014/9/10 18:43,178
A19971,1000093,20,2014/9/10 18:43,200
D77926,1000093,20,2014/9/10 18:43,22
E59370,1000093,20,2014/9/10 18:43,46
E50221,1000093,20,2014/9/10 18:44,200
E77481,1000093,20,2014/9/10 18:44,200
D76713,1000093,20,2014/9/10 18:29,90
D21420,1000093,20,2014/9/10 18:29,24
B71254,1000093,20,2014/9/10 18:29,12
E69277,1000091,19,2014/9/10 18:29,34
A33964,1000093,20,2014/9/10 18:29,48
D75706,1000016,28,2014/9/10 18:29,4700
B25356,1000095,64,2014/9/10 18:29,200
B51740,1000093,20,2014/9/10 18:29,146
B41064,1000095,64,2014/9/10 18:29,27
A76868,1000093,20,2014/9/10 18:49,52
B75244,1000095,22,2014/9/10 18:49,72
C38000,1000093,20,2014/9/10 18:49,56
C53191,1000093,20,2014/9/10 18:49,200
B39143,1000016,28,2014/9/10 18:34,770
C71152,1000093,20,2014/9/10 18:34,200
A14901,1000093,20,2014/9/10 18:34,20
D25794,1000095,64,2014/9/10 18:34,54
D79597,1000093,20,2014/9/10 18:34,28
B51135,1000091,19,2014/9/10 18:55,148
B31987,1000095,64,2014/9/10 18:55,105
D38693,1000095,22,2014/9/10 18:55,100
B57352,1000095,22,2014/9/10 18:55,25
E76940,1000095,22,2014/9/10 18:55,94
C78918,1000093,20,2014/9/10 18:55,2
D50683,1000093,20,2014/9/10 18:55,34
C72788,1000093,20,2014/9/10 18:56,200
B70745,1000093,20,2014/9/10 18:55,62
D49495,1000091,19,2014/9/10 19:49,28
E36302,1000091,19,2014/9/10 19:49,184
D26178,1000093,20,2014/9/10 19:49,50
C51106,1000095,22,2014/9/10 19:49,52
D58683,1000093,20,2014/9/10 19:49,4
D61050,1000091,19,2014/9/10 19:49,174
E65976,1000091,19,2014/9/10 19:49,58
B75575,1000016,28,2014/9/10 19:49,300
D61150,1000091,19,2014/9/10 19:49,200
E14612,1000095,64,2014/9/10 20:08,20
C63212,1000091,19,2014/9/10 20:08,2
B60294,1000095,22,2014/9/10 20:08,3
E39892,1000093,20,2014/9/10 20:08,66
C26084,1000091,19,2014/9/10 20:08,56
E74514,1000091,19,2014/9/10 20:08,58
A28505,1000093,20,2014/9/10 20:51,148
B75217,1000093,20,2014/9/10 20:51,8
B55230,1000091,19,2014/9/10 20:51,36
A17512,1000093,20,2014/9/10 20:51,200
D55485,1000095,64,2014/9/10 20:52,62
A77686,1000093,20,2014/9/10 20:52,86
B76918,1000093,20,2014/9/10 20:52,2
